size,time
537,0.0003934
538,0.0004186
539,0.0003626
540,0.0003951
541,0.0004048
542,0.0003467
543,0.0003684
544,0.000401
545,0.0003327
546,0.0004026
547,0.0004816
548,0.000426
549,0.0003453
550,0.0003736
551,0.0002957
552,0.0003938
553,0.0003729
554,0.0003988
555,0.0003623
556,0.0004124
557,0.0004775
558,0.0003973
559,0.0003919
560,0.0003428
561,0.0004762
562,0.0004428
563,0.0004089
564,0.0004077
565,0.0004954
566,0.0003883
567,0.0004899
568,0.0004843
569,0.0004379
570,0.000488
571,0.0004697
572,0.0004879
573,0.000465
574,0.0004386
575,0.0003505
576,0.000392
577,0.0003261
578,0.0005756
579,0.0003722
580,0.0006007
581,0.0004599
582,0.0004903
583,0.0003534
584,0.0003549
585,0.0003335
586,0.0003745
587,0.000372
588,0.0004934
589,0.0003999
590,0.0003812
591,0.0004254
592,0.0004134
593,0.0004911
594,0.0004366
595,0.000565
596,0.0003769
597,0.0004597
598,0.0003629
599,0.0003802
600,0.000507
601,0.0003903
602,0.0003177
603,0.0004431
604,0.0004482
605,0.0004247
606,0.0002807
607,0.0005654
608,0.0003933
609,0.0005307
610,0.0004537
611,0.0004362
612,0.0005485
613,0.0004681
614,0.0004266
615,0.0004914
616,0.0004758
617,0.00052
618,0.0005557
619,0.0003023
620,0.0004234
621,0.0004127
622,0.0004945
623,0.0004052
624,0.0004979
625,0.0007503
626,0.000383
627,0.0004842
628,0.0005308
629,0.0005389
630,0.0003446
631,0.000383
632,0.0004714
633,0.0003692
634,0.0003448
635,0.0003487
636,0.0005756
637,0.0004573
638,0.0006109
639,0.0004319
640,0.0006288
641,0.0003633
642,0.0004615
643,0.0003551
644,0.0003461
645,0.0004759
646,0.0004147
647,0.0005045
648,0.0004863
649,0.0005529
650,0.0006206
651,0.0004706
652,0.0003919
653,0.000465
654,0.0004626
655,0.0003935
656,0.000385
657,0.0005257
658,0.0005158
659,0.0005804
660,0.0004208
661,0.000348
662,0.000527
663,0.0003791
664,0.0003895
665,0.0006304
666,0.0006167
667,0.0005557
668,0.0005713
669,0.000413
670,0.0004168
671,0.0004877
672,0.0007137
673,0.0005145
674,0.0005349
675,0.0004844
676,0.0005631
677,0.000448
678,0.0005024
679,0.0005557
680,0.0004725
681,0.0005933
682,0.0005554
683,0.0005748
684,0.0005799
685,0.000465
686,0.0005743
687,0.0006761
688,0.0006372
689,0.0007023
690,0.0006024
691,0.0004664
692,0.0005035
693,0.0006949
694,0.0004544
695,0.0004596
696,0.0005523
697,0.0005351
698,0.0004639
699,0.0005826
700,0.0005283
701,0.0005517
702,0.0005068
703,0.0008344
704,0.000698
705,0.0006465
706,0.0007141
707,0.0005352
708,0.0007387
709,0.0005288
710,0.0006561
711,0.000612
712,0.0007767
713,0.0007051
714,0.0007009
715,0.0004279
716,0.000449
717,0.0006397
718,0.0007619
719,0.0004719
720,0.0006359
721,0.0006598
722,0.0005667
723,0.0007128
724,0.0006482
725,0.0008786
726,0.0007699
727,0.0007854
728,0.0005881
729,0.0004524
730,0.0004215
731,0.0007296
732,0.0009283
733,0.0005792
734,0.0004053
735,0.0005187
736,0.0006339
737,0.0005917
738,0.0015675
739,0.0006087
740,0.0007704
741,0.0004125
742,0.0004712
743,0.0007846
744,0.0007711
745,0.0004344
746,0.0005487
747,0.0006093
748,0.0006194
749,0.0006278
750,0.000554
751,0.0005412
752,0.0007534
753,0.0006747
754,0.0005974
755,0.0006437
756,0.0006212
757,0.0004676
758,0.0007549
759,0.0004364
760,0.000662
761,0.0004391
762,0.0004436
763,0.0005768
764,0.0007903
765,0.0007454
766,0.0008956
767,0.0004592
768,0.0005394
769,0.0006781
770,0.0006379
771,0.0006895
772,0.0007819
773,0.000451
774,0.000579
775,0.0005011
776,0.0006261
777,0.0006852
778,0.0004716
779,0.0004894
780,0.000529
781,0.000669
782,0.0006464
783,0.0005789
784,0.0007066
785,0.0006197
786,0.0005349
787,0.000658
788,0.0005344
789,0.0007116
790,0.0006104
791,0.0005388
792,0.0007455
793,0.0007171
794,0.0008595
795,0.0006152
796,0.0006644
797,0.0004922
798,0.0006082
799,0.0006052
800,0.0007328
