size,time
797,0.0005413
798,0.0004102
799,0.0004054
800,0.0003972
801,0.0003851
802,0.0005751
803,0.000519
804,0.0004343
805,0.0004724
806,0.0004728
807,0.0004019
808,0.0004147
809,0.0004608
810,0.0003995
811,0.0004111
812,0.0005048
813,0.0004104
814,0.0005334
815,0.0005745
816,0.0004091
817,0.0004367
818,0.0005505
819,0.0005825
820,0.0005612
821,0.0004433
822,0.0004345
823,0.0004077
824,0.0004191
825,0.0006444
826,0.0006644
827,0.0004101
828,0.0004284
829,0.0004712
830,0.0005001
831,0.0006909
832,0.0004438
833,0.0004206
834,0.0004229
835,0.0004306
836,0.0006304
837,0.0005039
838,0.0004512
839,0.0005127
840,0.0004264
841,0.0004273
842,0.0005845
843,0.0004609
844,0.0004304
845,0.0004336
846,0.0004873
847,0.0008026
848,0.0005142
849,0.0004755
850,0.0004417
851,0.000483
852,0.0004457
853,0.0006843
854,0.0005602
855,0.0004763
856,0.0005463
857,0.0004775
858,0.0006845
859,0.000672
860,0.000473
861,0.0004704
862,0.0004779
863,0.0007599
864,0.0006848
865,0.0007349
866,0.00047
867,0.0013926
868,0.0005611
869,0.0007326
870,0.0006077
871,0.0007134
872,0.000576
873,0.0005137
874,0.0008368
875,0.0018327
876,0.0007583
877,0.0008622
878,0.0007285
879,0.0009743
880,0.000674
881,0.0007597
882,0.0007651
883,0.0008012
884,0.0007606
885,0.0007774
886,0.0038336
887,0.0006938
888,0.0010189
889,0.0009299
890,0.0008297
891,0.0004913
892,0.0008122
893,0.0007697
894,0.0009305
895,0.0007055
896,0.0006833
897,0.0008153
898,0.0008157
899,0.0007814
900,0.0006879
901,0.0008146
902,0.002515
903,0.0008006
904,0.0007997
905,0.0013684
906,0.0005157
907,0.0007386
908,0.0010409
909,0.0005477
910,0.0005111
911,0.0009734
912,0.0008213
913,0.0006413
914,0.0012214
915,0.0007569
916,0.0007889
917,0.0009341
918,0.0008145
919,0.0007702
920,0.0007641
921,0.0005019
922,0.0008805
923,0.0008242
924,0.0005972
925,0.0007431
926,0.0005024
927,0.0008885
928,0.0014753
929,0.0009635
930,0.000627
931,0.0007025
932,0.0005072
933,0.0005478
934,0.0005105
935,0.0006886
936,0.0005191
937,0.0006689
938,0.0005085
939,0.0006183
940,0.000589
941,0.0005123
942,0.0005435
943,0.0005
944,0.0006677
945,0.0005441
946,0.0008529
947,0.0005837
948,0.0005224
949,0.0005822
950,0.0005276
951,0.0005508
952,0.0005558
953,0.0005609
954,0.0007457
955,0.001002
956,0.0007165
957,0.0006308
958,0.0005631
959,0.0005347
960,0.0005689
961,0.0005575
962,0.000733
963,0.0005834
964,0.0005545
965,0.0006733
966,0.0005406
967,0.0005549
968,0.0006086
969,0.0005324
970,0.0007265
971,0.0005742
972,0.0005735
973,0.0005729
974,0.0006012
975,0.0008597
976,0.0009344
977,0.0005759
978,0.0007943
979,0.0006737
980,0.0005708
981,0.0005553
982,0.0005863
983,0.0008307
984,0.0005561
985,0.0005824
986,0.0006165
987,0.0005891
988,0.0007536
989,0.0006133
990,0.0005583
991,0.0477089
992,0.0009634
993,0.0012045
994,0.0007816
995,0.0005887
996,0.0007916
997,0.0006381
998,0.0006049
999,0.0005823
1000,0.000892
